Date,ETH_Close,SPY_Close,DXY_Close,GOLD_Close
2014-09-17,,164.5674591064453,18.821575164794922,117.54000091552734
2014-09-18,,165.44467163085938,18.738033294677734,117.77999877929688
2014-09-19,,165.29559326171875,18.838285446166992,117.08999633789062
2014-09-22,,164.0189971923828,18.821575164794922,116.8499984741211
2014-09-23,,163.08010864257812,18.821575164794922,117.5999984741211
2014-09-24,,164.3566436767578,18.905115127563477,117.05000305175781
2014-09-25,,161.70472717285156,18.93853187561035,117.38999938964844
2014-09-26,,162.989501953125,19.047130584716797,117.05999755859375
2014-09-29,,162.69302368164062,19.030427932739258,117.02999877929688
2014-09-30,,162.2647705078125,19.105613708496094,116.20999908447266
2014-10-01,,160.0657958984375,19.088903427124023,116.7699966430664
2014-10-02,,160.09046936035156,19.030427932739258,116.73999786376953
2014-10-03,,161.85299682617188,19.281044006347656,114.61000061035156
2014-10-06,,161.66355895996094,19.0638427734375,116.02999877929688
2014-10-07,,159.16802978515625,19.030427932739258,116.36000061035156
2014-10-08,,161.9517822265625,18.946887969970703,117.47000122070312
2014-10-09,,158.73980712890625,19.005361557006836,117.63999938964844
2014-10-10,,156.9278564453125,19.097259521484375,117.58999633789062
2014-10-13,,154.34999084472656,18.98865509033203,118.5199966430664
2014-10-14,,154.58883666992188,19.07219696044922,118.58999633789062
2014-10-15,,153.54290771484375,18.8716983795166,118.98999786376953
2014-10-16,,153.41111755371094,18.8716983795166,119.22000122070312
2014-10-17,,155.2230987548828,18.93017578125,118.98999786376953
2014-10-20,,156.73023986816406,18.863346099853516,119.80000305175781
2014-10-21,,159.83517456054688,18.963594436645508,120.0199966430664
2014-10-22,,158.69862365722656,19.047130584716797,119.33999633789062
2014-10-23,,160.5434112548828,19.0638427734375,118.5199966430664
2014-10-24,,161.77882385253906,19.030427932739258,118.3499984741211
2014-10-27,,161.5564422607422,18.980302810668945,118.05999755859375
2014-10-28,,163.40956115722656,18.946887969970703,118.0999984741211
2014-10-29,,163.1624298095703,19.088903427124023,116.41000366210938
2014-10-30,,164.20848083496094,19.139028549194336,115.19000244140625
2014-10-31,,166.08624267578125,19.28940200805664,112.66000366210938
2014-11-03,,166.17686462402344,19.38129425048828,112.1500015258789
2014-11-04,,165.60037231445312,19.33116912841797,112.22000122070312
2014-11-05,,166.64625549316406,19.42306137084961,109.79000091552734
2014-11-06,,167.3134002685547,19.55672836303711,109.87999725341797
2014-11-07,,167.4698486328125,19.43977165222168,112.97000122070312
2014-11-10,,167.99696350097656,19.498249053955078,110.45999908447266
2014-11-11,,168.1616973876953,19.42306137084961,112.04000091552734
2014-11-12,,167.98049926757812,19.489896774291992,111.5
2014-11-13,,168.16993713378906,19.473186492919922,111.66999816894531
2014-11-14,,168.21112060546875,19.42306137084961,114.47000122070312
2014-11-17,,168.3181915283203,19.523313522338867,114.05000305175781
2014-11-18,,169.29000854492188,19.43141746520996,115.05000305175781
